x,y,z,h,s,r,g,b
255202.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255222.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255242.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255262.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255282.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255302.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255322.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255342.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255362.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255382.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255402.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255422.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255442.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255462.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255482.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255502.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255522.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255542.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255562.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255582.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255602.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255622.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255642.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255662.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255682.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255702.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255722.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255742.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255762.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255782.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255802.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255822.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255842.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255862.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255882.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255902.08,381881.00,2450.43,0.00,2450.43,0.71,0.71,0.71
255922.08,381881.00,2439.39,0.00,2439.39,0.71,0.71,0.71
255942.08,381881.00,2419.18,0.00,2419.18,0.71,0.71,0.71
255962.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255982.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256002.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256022.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256042.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256062.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256082.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256102.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256122.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256142.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256162.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256182.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256202.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256222.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256242.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256262.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256282.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256302.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256322.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256342.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256362.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256382.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256402.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256422.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256442.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256462.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256482.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256502.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256522.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256542.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256562.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256582.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256602.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256622.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256642.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256662.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256682.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256702.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256722.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256742.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256762.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256782.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256802.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256822.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256842.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256862.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256882.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256902.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256922.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256942.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256962.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256982.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257002.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257022.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257042.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257062.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257082.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257102.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257122.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257142.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257162.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257182.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257202.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257222.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257242.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257262.08,381881.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255202.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255222.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255242.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255262.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255282.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255302.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255322.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255342.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255362.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255382.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255402.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255422.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255442.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255462.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255482.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255502.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255522.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255542.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255562.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255582.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255602.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255622.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255642.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255662.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255682.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255702.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255722.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255742.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255762.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255782.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255802.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255822.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255842.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255862.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255882.08,381861.00,2428.28,0.00,2428.28,0.00,0.00,0.00
255902.08,381861.00,2434.49,0.00,2434.49,0.14,0.14,0.14
255922.08,381861.00,2420.85,0.00,2420.85,0.37,0.37,0.37
255942.08,381861.00,2401.75,0.00,2401.75,0.63,0.63,0.63
255962.08,381861.00,2387.84,0.00,2387.84,0.50,0.50,0.50
255982.08,381861.00,2386.16,0.00,2386.16,0.71,0.71,0.71
256002.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256022.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256042.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256062.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256082.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256102.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256122.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256142.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256162.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256182.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256202.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256222.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256242.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256262.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256282.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256302.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256322.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256342.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256362.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256382.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256402.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256422.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256442.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256462.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256482.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256502.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256522.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256542.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256562.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256582.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256602.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256622.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256642.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256662.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256682.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256702.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256722.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256742.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256762.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256782.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256802.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256822.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256842.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256862.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256882.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256902.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256922.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256942.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256962.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256982.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257002.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257022.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257042.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257062.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257082.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257102.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257122.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257142.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257162.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257182.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257202.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257222.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257242.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257262.08,381861.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255202.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255222.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255242.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255262.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255282.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255302.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255322.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255342.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255362.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255382.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255402.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255422.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255442.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255462.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255482.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255502.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255522.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255542.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255562.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255582.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255602.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255622.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255642.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255662.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255682.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255702.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255722.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255742.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255762.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255782.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255802.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255822.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255842.08,381841.00,2415.17,0.00,2415.17,0.00,0.00,0.00
255862.08,381841.00,2406.09,0.00,2406.09,0.50,0.50,0.50
255882.08,381841.00,2401.30,0.00,2401.30,0.16,0.16,0.16
255902.08,381841.00,2403.66,0.00,2403.66,0.09,0.09,0.09
255922.08,381841.00,2398.80,0.00,2398.80,0.20,0.20,0.20
255942.08,381841.00,2399.40,0.00,2399.40,0.64,0.64,0.64
255962.08,381841.00,2379.30,0.00,2379.30,0.69,0.69,0.69
255982.08,381841.00,2365.23,0.00,2365.23,0.33,0.33,0.33
256002.08,381841.00,2360.28,0.00,2360.28,0.71,0.71,0.71
256022.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256042.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256062.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256082.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256102.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256122.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256142.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256162.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256182.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256202.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256222.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256242.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256262.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256282.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256302.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256322.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256342.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256362.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256382.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256402.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256422.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256442.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256462.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256482.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256502.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256522.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256542.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256562.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256582.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256602.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256622.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256642.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256662.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256682.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256702.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256722.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256742.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256762.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256782.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256802.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256822.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256842.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256862.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256882.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256902.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256922.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256942.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256962.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256982.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257002.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257022.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257042.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257062.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257082.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257102.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257122.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257142.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257162.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257182.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257202.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257222.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257242.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
257262.08,381841.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255202.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255222.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255242.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255262.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255282.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255302.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255322.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255342.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255362.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255382.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255402.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255422.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255442.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255462.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255482.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255502.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255522.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255542.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255562.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255582.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255602.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255622.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255642.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255662.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255682.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255702.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255722.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255742.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255762.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255782.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255802.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
255822.08,381821.00,2403.60,0.00,2403.60,0.00,0.00,0.00
255842.08,381821.00,2402.24,0.00,2402.24,0.62,0.62,0.62
255862.08,381821.00,2381.22,0.00,2381.22,0.20,0.20,0.20
255882.08,381821.00,2387.68,0.00,2387.68,0.25,0.25,0.25
255902.08,381821.00,2386.27,0.00,2386.27,0.12,0.12,0.12
255922.08,381821.00,2382.93,0.00,2382.93,0.12,0.12,0.12
255942.08,381821.00,2386.22,0.00,2386.22,0.26,0.26,0.26
255962.08,381821.00,2372.89,0.00,2372.89,0.58,0.58,0.58
255982.08,381821.00,2349.24,0.00,2349.24,0.47,0.47,0.47
256002.08,381821.00,2349.73,0.00,2349.73,0.49,0.49,0.49
256022.08,381821.00,2326.66,0.00,2326.66,0.50,0.50,0.50
256042.08,381821.00,2323.18,0.00,2323.18,0.71,0.71,0.71
256062.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256082.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256102.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256122.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256142.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256162.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256182.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256202.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256222.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256242.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256262.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256282.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256302.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
256322.08,381821.00,-9999.00,0.00,-9999.00,0.71,0.71,0.71
